timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773878093440,75,HTTP Request,200,OK,Stress Test 1-7,text,true,,197,121,10,10,http://54.159.81.233:8080/match,71,0,42
1773878093438,77,HTTP Request,200,OK,Stress Test 1-2,text,true,,197,121,10,10,http://54.159.81.233:8080/match,73,0,44
1773878093438,77,HTTP Request,200,OK,Stress Test 1-3,text,true,,197,121,10,10,http://54.159.81.233:8080/match,73,0,45
1773878093438,77,HTTP Request,200,OK,Stress Test 1-4,text,true,,197,121,10,10,http://54.159.81.233:8080/match,73,0,44
1773878093460,55,HTTP Request,200,OK,Stress Test 1-8,text,true,,197,121,10,10,http://54.159.81.233:8080/match,51,0,22
1773878093438,77,HTTP Request,200,OK,Stress Test 1-5,text,true,,197,121,10,10,http://54.159.81.233:8080/match,73,0,44
1773878093438,77,HTTP Request,200,OK,Stress Test 1-6,text,true,,197,121,10,10,http://54.159.81.233:8080/match,73,0,44
1773878093438,77,HTTP Request,200,OK,Stress Test 1-1,text,true,,197,121,10,10,http://54.159.81.233:8080/match,73,0,44
1773878093480,42,HTTP Request,200,OK,Stress Test 1-9,text,true,,197,121,3,3,http://54.159.81.233:8080/match,42,0,21
1773878093500,43,HTTP Request,200,OK,Stress Test 1-10,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878093520,44,HTTP Request,200,OK,Stress Test 1-11,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,21
1773878093539,45,HTTP Request,200,OK,Stress Test 1-12,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,23
1773878093559,43,HTTP Request,200,OK,Stress Test 1-13,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,22
1773878093580,44,HTTP Request,200,OK,Stress Test 1-14,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,21
1773878093600,44,HTTP Request,200,OK,Stress Test 1-15,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878093619,45,HTTP Request,200,OK,Stress Test 1-16,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878093640,45,HTTP Request,200,OK,Stress Test 1-17,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878093659,44,HTTP Request,200,OK,Stress Test 1-18,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878093680,49,HTTP Request,200,OK,Stress Test 1-19,text,true,,197,121,3,3,http://54.159.81.233:8080/match,49,0,21
1773878093700,44,HTTP Request,200,OK,Stress Test 1-20,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878093719,43,HTTP Request,200,OK,Stress Test 1-21,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,22
1773878093740,43,HTTP Request,200,OK,Stress Test 1-22,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,22
1773878093761,43,HTTP Request,200,OK,Stress Test 1-23,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
